Hotel Name,Address,Rating,Price
,,,
Baltistan Continental Hotel,"Shahrah-e-Quaid-e-Azam, Skardu.",3,"PKR 6,000"
,,,
Concordia Motel,"Vip Rest House Hameed Garh Chowk, Skardu.",4,"PKR 7,000"
,,,
Dewan e Khas,"New Bazaar, Skardu, Skardu.",5,"PKR 6,500"
,,,
Green Guest House,"Kachura Scared Near Shangrilla, Skardu.",4,"PKR 6,000"
,,,
Hilton International Hotel,"Hussaini Chowk Near Bazaar, Skardu.",4,"PKR 2,500"
,,,
Hotel One Skardu,"Maian bazar, Skardu.",3,"PKR 11,500"
,,,
Hotel Snow Land Palace,"Hameed Garh, Skardu.",4,"PKR 5,000"
,,,
Hotel Taj Mahal Skardu,"G.T. Road, Mingora, Skardu.",5,"PKR 5,000"
,,,
Indus Motel,"Main Road, Gilgit, Skardu.",3,"PKR 5,000"
,,,
K7 Hotel and Restuarant,"Yadgar Chowk, Skardu.",4,"PKR 5,000"
,,,
Kashmir Inn Hotel,"New Bazaar, Skardu, Skardu.",3,"PKR 5,000"
,,,
Mashbrum Hotel Skardu,"Main Road, Skardu, Skardu.",4,"PKR 6,500"
,,,
Pakiza Inn Hotel,"Main Road, Skardu, Skardu.",3,"PKR 2,500"
,,,
PTDC Motel Astak Skardu,"Astak, Skardu, Skardu.",4,"PKR 4,500"
,,,
PTDC Motel Khaplu,"Main Road, Khaplu, Skardu.",8,"PKR 5,000"
,,,
PTDC Motel Stpara Skardu,"Hameed Garh Road, Skardu.",5,"PKR 4,300"
,,,
PTDC Skardu Motel,"Hameed Garh Road, Skardu.",0,"PKR 4,200"
,,,
Serena Khaplu Palace,"Main Road, Khaplu, Skardu.",9,"PKR 13,000"
,,,
Serena Shigar Fort,"Skardu, Skardu.",9,"PKR 13,000"
,,,
Shangrila Resort Skardu,"Main Bazar Skardu , Skardu.",8,"PKR 7,000"
