Hotel Name,Address,Rating,Price
Akbari Hotel,"Fiza Ghat Road Bypass Swat, Fizaghat, Swat.",3.0,"PKR 2,500"
Al Madina Guest House,"Main Bazaar, Madyan, Swat.",3.0,"PKR 3,500"
Al Zaib Hotel,"Green Chock, Mingora, Swat.",2.0,"PKR 2,000"
Anwer Hotel,"Green Chock Airport Road, Mingora, Swat.",2.0,"PKR 2,000"
Bahrain Hotel,"Main Bazaar, Bahrain, Swat.",3.0,"PKR 1,300"
Bolan Hotel Bahrain,"Main Road, Bahrain, Swat.",3.0,"PKR 4,000"
By Pass Hotel,"By Pass road Sawat, Fizaghat, Swat.",2.0,"PKR 1,300"
Chinar Hotel,"G.T Road Gulshan Chowk, Mingora, Swat.",3.0,"PKR 1,100"
City Star Hotel Bahrain,"Kalam Road, Bahrain, Swat.",3.0,"PKR 1,500"
Diamond Hotel Mignora,"Main Kalam Road, Mingora, Swat.",3.0,"PKR 1,500"
Dream Hotel,"Suhrab Khan Chock, Mingora, Swat.",2.0,"PKR 1,500"
Dream Land Hotel Mingora,"Main G.T Road, Mingora, Swat.",3.0,"PKR 4,000"
Five Star Hotel,"Kalam Road, Fizaghat, Swat.",3.0,"PKR 2,000"
Four Star Hotel,"Main Road, Kalam, Swat.",3.0,"PKR 1,500"
Golden Star Hotel,"Main Road, Kalam, Swat.",3.0,"PKR 1,500"
Grace Hotel Bahrain,"Kalam Road, Bahrain, Swat.",3.0,"PKR 1,500"
Grand Season Hotel,"Kalam Road, Fizaghat, Swat.",5.0,"PKR 3,000"
Green Hotel Malam Jabbah,"Main Road, Malam Jabbah, Swat.",3.0,"PKR 3,500"
Green Land Hotel Kalam,"Main Road, Kalam, Swat.",3.0,"PKR 1,500"
Green Tower Hotel,"Suhrab Khan Chowk, Mingora, Swat.",2.0,"PKR 1,500"
